rel_path,vendor,hw_platform,profile,default_topo
device/accton/x86_64-accton_as7116_54x-r0/Accton-AS7116-54X-R0/buffers.json.j2,accton,x86_64-accton_as7116_54x-r0,Accton-AS7116-54X-R0,t0
device/accton/x86_64-accton_wedge100bf_32qs-r0/montara/buffers.json.j2,accton,x86_64-accton_wedge100bf_32qs-r0,montara,t0
device/alphanetworks/x86_64-alphanetworks_snj60d0_320f-r0/Alphanetworks-SNJ60D0-320F/buffers.json.j2,alphanetworks,x86_64-alphanetworks_snj60d0_320f-r0,Alphanetworks-SNJ60D0-320F,t0
device/arista/x86_64-arista_7050_qx32/Arista-7050-QX32-Flex/buffers.json.j2,arista,x86_64-arista_7050_qx32,Arista-7050-QX32-Flex,t1
device/arista/x86_64-arista_7050_qx32/Arista-7050-QX32/buffers.json.j2,arista,x86_64-arista_7050_qx32,Arista-7050-QX32,t1
device/arista/x86_64-arista_7050_qx32s/Arista-7050QX-32S-S4Q31/buffers.json.j2,arista,x86_64-arista_7050_qx32s,Arista-7050QX-32S-S4Q31,t1
device/arista/x86_64-arista_7050_qx32s/Arista-7050QX32S-Q32/buffers.json.j2,arista,x86_64-arista_7050_qx32s,Arista-7050QX32S-Q32,t1
device/arista/x86_64-arista_7050cx3_32s/Arista-7050CX3-32S-C28S4/buffers.json.j2,arista,x86_64-arista_7050cx3_32s,Arista-7050CX3-32S-C28S4,t0
device/arista/x86_64-arista_7050cx3_32s/Arista-7050CX3-32S-C32/buffers.json.j2,arista,x86_64-arista_7050cx3_32s,Arista-7050CX3-32S-C32,t0
device/arista/x86_64-arista_7050cx3_32s/Arista-7050CX3-32S-D48C8/buffers.json.j2,arista,x86_64-arista_7050cx3_32s,Arista-7050CX3-32S-D48C8,t0
device/arista/x86_64-arista_7050sx3_48c8/Arista-7050SX3-48C8/buffers.json.j2,arista,x86_64-arista_7050sx3_48c8,Arista-7050SX3-48C8,t0
device/arista/x86_64-arista_7050sx3_48yc8/Arista-7050SX3-48YC8/buffers.json.j2,arista,x86_64-arista_7050sx3_48yc8,Arista-7050SX3-48YC8,t0
device/arista/x86_64-arista_7060_cx32s/Arista-7060CX-32S-C32/buffers.json.j2,arista,x86_64-arista_7060_cx32s,Arista-7060CX-32S-C32,t1
device/arista/x86_64-arista_7060_cx32s/Arista-7060CX-32S-D48C8/buffers.json.j2,arista,x86_64-arista_7060_cx32s,Arista-7060CX-32S-D48C8,t0
device/arista/x86_64-arista_7060_cx32s/Arista-7060CX-32S-Q24C8/buffers.json.j2,arista,x86_64-arista_7060_cx32s,Arista-7060CX-32S-Q24C8,t0
device/arista/x86_64-arista_7060_cx32s/Arista-7060CX-32S-Q32/buffers.json.j2,arista,x86_64-arista_7060_cx32s,Arista-7060CX-32S-Q32,t1
device/arista/x86_64-arista_7060_cx32s/Arista-7060CX-32S/buffers.json.j2,arista,x86_64-arista_7060_cx32s,Arista-7060CX-32S,t0
device/arista/x86_64-arista_7060x6_16pe_384c/Arista-7060X6-16PE-384C-O128S2/buffers.json.j2,arista,x86_64-arista_7060x6_16pe_384c,Arista-7060X6-16PE-384C-O128S2,t0
device/arista/x86_64-arista_7060x6_16pe_384c_b/Arista-7060X6-16PE-384C-B-O128S2/buffers.json.j2,arista,x86_64-arista_7060x6_16pe_384c_b,Arista-7060X6-16PE-384C-B-O128S2,t0
device/arista/x86_64-arista_7060x6_32pe/Arista-7060X6-32PE/buffers.json.j2,arista,x86_64-arista_7060x6_32pe,Arista-7060X6-32PE,t1
device/arista/x86_64-arista_7060x6_64de/Arista-7060X6-64DE-64x400G/buffers.json.j2,arista,x86_64-arista_7060x6_64de,Arista-7060X6-64DE-64x400G,t1
device/arista/x86_64-arista_7060x6_64de/Arista-7060X6-64DE-O128S2/buffers.json.j2,arista,x86_64-arista_7060x6_64de,Arista-7060X6-64DE-O128S2,t1
device/arista/x86_64-arista_7060x6_64de/Arista-7060X6-64DE/buffers.json.j2,arista,x86_64-arista_7060x6_64de,Arista-7060X6-64DE,t1
device/arista/x86_64-arista_7060x6_64pe/Arista-7060X6-64PE-256x200G/buffers.json.j2,arista,x86_64-arista_7060x6_64pe,Arista-7060X6-64PE-256x200G,t1
device/arista/x86_64-arista_7060x6_64pe/Arista-7060X6-64PE-64x400G/buffers.json.j2,arista,x86_64-arista_7060x6_64pe,Arista-7060X6-64PE-64x400G,t1
device/arista/x86_64-arista_7060x6_64pe/Arista-7060X6-64PE-C224O8/buffers.json.j2,arista,x86_64-arista_7060x6_64pe,Arista-7060X6-64PE-C224O8,t1
device/arista/x86_64-arista_7060x6_64pe/Arista-7060X6-64PE-C256S2/buffers.json.j2,arista,x86_64-arista_7060x6_64pe,Arista-7060X6-64PE-C256S2,t1
device/arista/x86_64-arista_7060x6_64pe/Arista-7060X6-64PE-O128S2/buffers.json.j2,arista,x86_64-arista_7060x6_64pe,Arista-7060X6-64PE-O128S2,t1
device/arista/x86_64-arista_7060x6_64pe/Arista-7060X6-64PE-P32O64/buffers.json.j2,arista,x86_64-arista_7060x6_64pe,Arista-7060X6-64PE-P32O64,lt2
device/arista/x86_64-arista_7060x6_64pe/Arista-7060X6-64PE/buffers.json.j2,arista,x86_64-arista_7060x6_64pe,Arista-7060X6-64PE,t1
device/arista/x86_64-arista_7060x6_64pe_b/Arista-7060X6-64PE-B-C448O16/buffers.json.j2,arista,x86_64-arista_7060x6_64pe_b,Arista-7060X6-64PE-B-C448O16,t1
device/arista/x86_64-arista_7060x6_64pe_b/Arista-7060X6-64PE-B-C512S2/buffers.json.j2,arista,x86_64-arista_7060x6_64pe_b,Arista-7060X6-64PE-B-C512S2,t0
device/arista/x86_64-arista_7060x6_64pe_b/Arista-7060X6-64PE-B-O128/buffers.json.j2,arista,x86_64-arista_7060x6_64pe_b,Arista-7060X6-64PE-B-O128,lt2
device/arista/x86_64-arista_7060x6_64pe_b/Arista-7060X6-64PE-B-O128S2/buffers.json.j2,arista,x86_64-arista_7060x6_64pe_b,Arista-7060X6-64PE-B-O128S2,lt2
device/arista/x86_64-arista_7060x6_64pe_b/Arista-7060X6-64PE-B-P28O72/buffers.json.j2,arista,x86_64-arista_7060x6_64pe_b,Arista-7060X6-64PE-B-P28O72,lt2
device/arista/x86_64-arista_7060x6_64pe_b/Arista-7060X6-64PE-B-P32O64/buffers.json.j2,arista,x86_64-arista_7060x6_64pe_b,Arista-7060X6-64PE-B-P32O64,lt2
device/arista/x86_64-arista_7060x6_64pe_b/Arista-7060X6-64PE-B-P32V128/buffers.json.j2,arista,x86_64-arista_7060x6_64pe_b,Arista-7060X6-64PE-B-P32V128,t0
device/arista/x86_64-arista_7060x6_64pe_b/Arista-7060X6-64PE-B-P64/buffers.json.j2,arista,x86_64-arista_7060x6_64pe_b,Arista-7060X6-64PE-B-P64,ft2
device/arista/x86_64-arista_7170_64c/Arista-7170-64C/buffers.json.j2,arista,x86_64-arista_7170_64c,Arista-7170-64C,t0
device/arista/x86_64-arista_7170_64c/Arista-7170-Q59S20/buffers.json.j2,arista,x86_64-arista_7170_64c,Arista-7170-Q59S20,t0
device/arista/x86_64-arista_7260cx3_64/Arista-7260CX3-C64/buffers.json.j2,arista,x86_64-arista_7260cx3_64,Arista-7260CX3-C64,t1
