rel_path,vendor,hw_platform,profile,group
device/accton/x86_64-accton_as7116_54x-r0/Accton-AS7116-54X-R0/qos.json.j2,accton,x86_64-accton_as7116_54x-r0,Accton-AS7116-54X-R0,OTHER
device/accton/x86_64-accton_as7212_54x-r0/AS7212-54x/qos.json.j2,accton,x86_64-accton_as7212_54x-r0,AS7212-54x,A
device/accton/x86_64-accton_wedge100bf_32qs-r0/montara/qos.json.j2,accton,x86_64-accton_wedge100bf_32qs-r0,montara,OTHER
device/alphanetworks/x86_64-alphanetworks_snj60d0_320f-r0/Alphanetworks-SNJ60D0-320F/qos.json.j2,alphanetworks,x86_64-alphanetworks_snj60d0_320f-r0,Alphanetworks-SNJ60D0-320F,OTHER
device/arista/x86_64-arista_7050cx3_32s/Arista-7050CX3-32S-C28S4/BALANCED/qos.json.j2,arista,x86_64-arista_7050cx3_32s,Arista-7050CX3-32S-C28S4,OTHER
device/arista/x86_64-arista_7050cx3_32s/Arista-7050CX3-32S-C32/BALANCED/qos.json.j2,arista,x86_64-arista_7050cx3_32s,Arista-7050CX3-32S-C32,OTHER
device/arista/x86_64-arista_7050cx3_32s/Arista-7050CX3-32S-D48C8/BALANCED/qos.json.j2,arista,x86_64-arista_7050cx3_32s,Arista-7050CX3-32S-D48C8,OTHER
device/arista/x86_64-arista_7050sx3_48c8/Arista-7050SX3-48C8/qos.json.j2,arista,x86_64-arista_7050sx3_48c8,Arista-7050SX3-48C8,C
device/arista/x86_64-arista_7050sx3_48yc8/Arista-7050SX3-48YC8/qos.json.j2,arista,x86_64-arista_7050sx3_48yc8,Arista-7050SX3-48YC8,C
device/arista/x86_64-arista_7060_cx32s/Arista-7060CX-32S/qos.json.j2,arista,x86_64-arista_7060_cx32s,Arista-7060CX-32S,C
device/arista/x86_64-arista_7060x6_16pe_384c/Arista-7060X6-16PE-384C-O128S2/qos.json.j2,arista,x86_64-arista_7060x6_16pe_384c,Arista-7060X6-16PE-384C-O128S2,C
device/arista/x86_64-arista_7060x6_16pe_384c_b/Arista-7060X6-16PE-384C-B-O128S2/qos.json.j2,arista,x86_64-arista_7060x6_16pe_384c_b,Arista-7060X6-16PE-384C-B-O128S2,C
device/arista/x86_64-arista_7060x6_32pe/Arista-7060X6-32PE/qos.json.j2,arista,x86_64-arista_7060x6_32pe,Arista-7060X6-32PE,A
device/arista/x86_64-arista_7060x6_64de/Arista-7060X6-64DE-64x400G/qos.json.j2,arista,x86_64-arista_7060x6_64de,Arista-7060X6-64DE-64x400G,A
device/arista/x86_64-arista_7060x6_64de/Arista-7060X6-64DE-O128S2/qos.json.j2,arista,x86_64-arista_7060x6_64de,Arista-7060X6-64DE-O128S2,A
device/arista/x86_64-arista_7060x6_64de/Arista-7060X6-64DE/qos.json.j2,arista,x86_64-arista_7060x6_64de,Arista-7060X6-64DE,A
device/arista/x86_64-arista_7060x6_64pe/Arista-7060X6-64PE-256x200G/qos.json.j2,arista,x86_64-arista_7060x6_64pe,Arista-7060X6-64PE-256x200G,A
device/arista/x86_64-arista_7060x6_64pe/Arista-7060X6-64PE-64x400G/qos.json.j2,arista,x86_64-arista_7060x6_64pe,Arista-7060X6-64PE-64x400G,A
device/arista/x86_64-arista_7060x6_64pe/Arista-7060X6-64PE-C224O8/qos.json.j2,arista,x86_64-arista_7060x6_64pe,Arista-7060X6-64PE-C224O8,OTHER
device/arista/x86_64-arista_7060x6_64pe/Arista-7060X6-64PE-C256S2/qos.json.j2,arista,x86_64-arista_7060x6_64pe,Arista-7060X6-64PE-C256S2,OTHER
device/arista/x86_64-arista_7060x6_64pe/Arista-7060X6-64PE-O128S2/qos.json.j2,arista,x86_64-arista_7060x6_64pe,Arista-7060X6-64PE-O128S2,C
device/arista/x86_64-arista_7060x6_64pe/Arista-7060X6-64PE-P32O64/qos.json.j2,arista,x86_64-arista_7060x6_64pe,Arista-7060X6-64PE-P32O64,A
device/arista/x86_64-arista_7060x6_64pe/Arista-7060X6-64PE/qos.json.j2,arista,x86_64-arista_7060x6_64pe,Arista-7060X6-64PE,A
device/arista/x86_64-arista_7060x6_64pe_b/Arista-7060X6-64PE-B-C448O16/qos.json.j2,arista,x86_64-arista_7060x6_64pe_b,Arista-7060X6-64PE-B-C448O16,C
device/arista/x86_64-arista_7060x6_64pe_b/Arista-7060X6-64PE-B-C512S2/qos.json.j2,arista,x86_64-arista_7060x6_64pe_b,Arista-7060X6-64PE-B-C512S2,C
device/arista/x86_64-arista_7060x6_64pe_b/Arista-7060X6-64PE-B-O128/qos.json.j2,arista,x86_64-arista_7060x6_64pe_b,Arista-7060X6-64PE-B-O128,C
device/arista/x86_64-arista_7060x6_64pe_b/Arista-7060X6-64PE-B-P28O72/qos.json.j2,arista,x86_64-arista_7060x6_64pe_b,Arista-7060X6-64PE-B-P28O72,A
device/arista/x86_64-arista_7060x6_64pe_b/Arista-7060X6-64PE-B-P32O64/qos.json.j2,arista,x86_64-arista_7060x6_64pe_b,Arista-7060X6-64PE-B-P32O64,A
device/arista/x86_64-arista_7060x6_64pe_b/Arista-7060X6-64PE-B-P32V128/qos.json.j2,arista,x86_64-arista_7060x6_64pe_b,Arista-7060X6-64PE-B-P32V128,A
device/arista/x86_64-arista_7060x6_64pe_b/Arista-7060X6-64PE-B-P64/qos.json.j2,arista,x86_64-arista_7060x6_64pe_b,Arista-7060X6-64PE-B-P64,A
device/arista/x86_64-arista_7170_64c/Arista-7170-64C/qos.json.j2,arista,x86_64-arista_7170_64c,Arista-7170-64C,A
device/arista/x86_64-arista_7170_64c/Arista-7170-Q59S20/qos.json.j2,arista,x86_64-arista_7170_64c,Arista-7170-Q59S20,A
device/arista/x86_64-arista_7260cx3_64/Arista-7260CX3-D96C16/qos.json.j2,arista,x86_64-arista_7260cx3_64,Arista-7260CX3-D96C16,C
device/arista/x86_64-arista_7280dr3a_36/Arista-7280DR3A-36/0/qos.json.j2,arista,x86_64-arista_7280dr3a_36,Arista-7280DR3A-36,C
device/arista/x86_64-arista_7280r4_32qf_32df/Arista-7280R4-32QF-32DF-64O/qos.json.j2,arista,x86_64-arista_7280r4_32qf_32df,Arista-7280R4-32QF-32DF-64O,C
device/arista/x86_64-arista_7800r3_48cq2_lc/Arista-7800R3-48CQ2-C48/qos.json.j2,arista,x86_64-arista_7800r3_48cq2_lc,Arista-7800R3-48CQ2-C48,C
device/arista/x86_64-arista_7800r3_48cqm2_lc/Arista-7800R3-48CQM2-C48/qos.json.j2,arista,x86_64-arista_7800r3_48cqm2_lc,Arista-7800R3-48CQM2-C48,C
device/arista/x86_64-arista_7800r3a_36d2_lc/Arista-7800R3A-36D2-C36/0/qos.json.j2,arista,x86_64-arista_7800r3a_36d2_lc,Arista-7800R3A-36D2-C36,C
device/arista/x86_64-arista_7800r3a_36d2_lc/Arista-7800R3A-36D2-C36/1/qos.json.j2,arista,x86_64-arista_7800r3a_36d2_lc,Arista-7800R3A-36D2-C36,C
device/arista/x86_64-arista_7800r3a_36d2_lc/Arista-7800R3A-36D2-C72/0/qos.json.j2,arista,x86_64-arista_7800r3a_36d2_lc,Arista-7800R3A-36D2-C72,C
device/arista/x86_64-arista_7800r3a_36d2_lc/Arista-7800R3A-36D2-C72/1/qos.json.j2,arista,x86_64-arista_7800r3a_36d2_lc,Arista-7800R3A-36D2-C72,C
device/arista/x86_64-arista_7800r3a_36d2_lc/Arista-7800R3A-36D2-D36/0/qos.json.j2,arista,x86_64-arista_7800r3a_36d2_lc,Arista-7800R3A-36D2-D36,C
device/arista/x86_64-arista_7800r3a_36d2_lc/Arista-7800R3A-36D2-D36/1/qos.json.j2,arista,x86_64-arista_7800r3a_36d2_lc,Arista-7800R3A-36D2-D36,C
device/barefoot/x86_64-accton_as9516_32d-r0/newport/qos.json.j2,barefoot,x86_64-accton_as9516_32d-r0,newport,OTHER
device/barefoot/x86_64-accton_wedge100bf_32x-r0/montara/qos.json.j2,barefoot,x86_64-accton_wedge100bf_32x-r0,montara,OTHER
device/barefoot/x86_64-accton_wedge100bf_65x-r0/mavericks/qos.json.j2,barefoot,x86_64-accton_wedge100bf_65x-r0,mavericks,OTHER
device/celestica/x86_64-cel_ds2000-r0/DS2000/qos.json.j2,celestica,x86_64-cel_ds2000-r0,DS2000,B
device/celestica/x86_64-cel_ds3000-r0/DS3000/qos.json.j2,celestica,x86_64-cel_ds3000-r0,DS3000,A
device/celestica/x86_64-cel_midstone-r0/Midstone-200i/qos.json.j2,celestica,x86_64-cel_midstone-r0,Midstone-200i,OTHER
